	words	count	avg_wait_time
0	itse	21.0	104.1
1	vanha	21.0	101.3
2	on	17.0	131.625
3	väinämöinen	15.0	123.78571428571429
4	lieto	13.0	175.91666666666666
5	pohjolan	12.0	106.0909090909091
6	noin	12.0	178.27272727272728
7	vaka	11.0	202.2
8	nimesi:	11.0	196.1
9	sampo	10.0	138.88888888888889
10	sanan	9.0	245.0
11	jo	9.0	216.75
12	sammon	8.0	115.14285714285714
13	ei	8.0	165.71428571428572
14	virkkoi,	8.0	280.14285714285717
15	seppo	8.0	278.7142857142857
16	väinämöinen,	8.0	289.42857142857144
17	tuossa	7.0	331.8333333333333
18	oli	7.0	272.1666666666667
19	äijön	7.0	68.0
20	siitä	7.0	289.5
21	tuo	7.0	273.6666666666667
22	poika,	6.0	336.4
23	vaskisen	6.0	217.6
24	tuopa	6.0	398.2
25	meren	6.0	209.0
26	kirjokannen	6.0	97.2
27	kirjokansi	6.0	160.4
28	ilmarinen,	6.0	390.2
29	kovin	6.0	261.4
30	vaaran	6.0	217.6
31	lemminkäinen,	5.0	398.75
32	tuuli,	5.0	330.75
33	laski	5.0	431.75
34	merestä	5.0	37.0
35	tuonne	5.0	302.5
36	lemminkäinen	5.0	233.0
37	tuosta	5.0	354.25
38	tuon	5.0	399.75
39	toinen	5.0	210.5
40	kaunis	5.0	527.25
41	"""ei"	4.0	621.3333333333334
42	et	4.0	283.6666666666667
43	tuota	4.0	574.6666666666666
44	ennen	4.0	673.3333333333334
45	kaukomieli,	4.0	703.0
46	kun	4.0	313.6666666666667
47	iku-turso,	4.0	114.66666666666667
48	kyllin	4.0	373.3333333333333
49	läksi	4.0	240.0
50	nousi	4.0	210.66666666666666
51	eikä	4.0	410.0
52	sanoi	4.0	245.33333333333334
53	sanoiksi	4.0	533.0
54	sie	4.0	432.0
55	aallosta	4.0	42.333333333333336
56	etehen	4.0	48.333333333333336
57	airoillen	4.0	255.0
58	emäntä,	3.0	583.5
59	siinä	3.0	422.0
60	meni	3.0	786.0
61	väinämöisen	3.0	805.5
62	ja	3.0	228.0
63	yheksän	3.0	451.5
64	kuului	3.0	204.0
65	säikähti	3.0	199.5
66	pahan	3.0	492.0
67	kivimäestä,	3.0	451.5
68	lukot	3.0	407.0
69	nukkui	3.0	4.0
70	jottei	3.0	491.0
71	urohot	3.0	558.0
72	virkki:	3.0	735.5
73	hyvä	3.0	186.5
74	"""kun"	3.0	580.5
75	kaikki	3.0	487.0
76	sen	3.0	43.5
77	veno	3.0	471.5
78	kävi	3.0	483.5
79	toiste	3.0	337.5
80	miehen	3.0	347.5
81	poika!	3.0	63.5
82	"""iku-turso,"	3.0	63.5
83	tuulet	3.0	32.5
84	aalto	3.0	309.5
85	kuohuja	2.0	180.0
86	sillä	2.0	593.0
87	nousit,	2.0	52.0
88	miksi	2.0	52.0
89	senpä	2.0	1259.0
90	nosti	2.0	272.0
91	pikkarainen.	2.0	286.0
92	aallon	2.0	21.0
93	sylen	2.0	1615.0
94	pirahteli	2.0	286.0
95	saipa	2.0	1013.0
96	vähäinen,	2.0	286.0
97	veivät	2.0	1260.0
98	aikoa	2.0	286.0
99	saatetahan,	2.0	24.0
